,City,Lats,Lngs,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,avarua,-21.2078,-159.775,25.03,69,100,4.63,CK,1668918455
125,esperance,-33.8667,121.9,15.16,62,93,7.39,AU,1668918243
126,sao filipe,14.8961,-24.4956,24.75,67,94,6.59,CV,1668918456
127,taua,-5.9667,-40.3,25.38,48,84,4.18,BR,1668918456
128,hargeysa,9.56,44.065,15.71,84,61,3.77,SO,1668918456
129,bonavista,48.6499,-53.1147,0.54,65,28,9.58,CA,1668918457
130,bairiki,1.3292,172.9752,30.0,70,20,3.09,KI,1668918457
131,sooke,48.3746,-123.7276,2.91,44,100,2.75,CA,1668918458
132,bashmakovo,53.2133,43.0342,-0.45,99,100,1.99,RU,1668918458
133,kyra,49.5776,111.9753,-10.79,58,23,1.27,RU,1668918459
134,aragarcas,-15.8975,-52.2508,22.23,83,26,1.81,BR,1668918459
135,itaituba,-4.2761,-55.9836,23.29,88,23,1.13,BR,1668918283
136,linares,-35.85,-71.6,11.66,55,0,3.73,CL,1668918460
137,lorengau,-2.0226,147.2712,29.71,64,57,3.31,PG,1668918460
138,lagos,6.5833,3.75,25.18,86,70,0.45,NG,1668918015
139,sivaki,52.6333,126.75,-4.08,93,100,4.54,RU,1668918461
140,ribeira grande,38.5167,-28.7,18.76,96,85,5.81,PT,1668918462
141,lompoc,34.6391,-120.4579,7.7,71,0,2.57,US,1668918210
142,trairi,-3.2778,-39.2689,25.13,80,68,3.92,BR,1668918382
143,navalgund,15.5667,75.3667,23.5,46,33,4.99,IN,1668918463
144,constitucion,-35.3333,-72.4167,13.88,65,0,4.89,CL,1668918463
145,iisalmi,63.5592,27.1907,-6.35,97,37,1.67,FI,1668918464
146,harlingen,26.1906,-97.6961,7.78,94,100,11.83,US,1668918424
147,hasaki,35.7333,140.8333,15.24,58,100,5.73,JP,1668918464
148,north myrtle beach,33.816,-78.68,11.94,64,0,3.6,US,1668918465
149,kulhudhuffushi,6.6221,73.07,26.72,73,99,0.92,MV,1668918465
150,umm lajj,25.0213,37.2685,25.38,54,0,3.82,SA,1668918466
151,hualmay,-11.0964,-77.6139,17.49,87,84,3.13,PE,1668918466
152,cabo san lucas,22.8909,-109.9124,22.99,79,77,3.81,MX,1668918467
153,kungurtug,50.5994,97.5228,-11.27,64,82,0.57,RU,1668918468
154,hamilton,39.1834,-84.5333,-3.28,52,20,7.72,US,1668917930
155,meulaboh,4.1363,96.1285,27.8,74,93,0.71,ID,1668918468
156,mar del plata,-38.0023,-57.5575,19.16,91,0,0.0,AR,1668918469
157,valdivia,-39.8142,-73.2459,7.05,98,44,1.08,CL,1668918469
158,semporna,4.4818,118.6112,30.15,68,91,3.0,MY,1668918470
159,ewa beach,21.3156,-158.0072,25.4,69,0,4.12,US,1668918470
160,new norfolk,-42.7826,147.0587,14.05,40,100,6.26,AU,1668918471
161,alamosa,37.4695,-105.87,-9.01,73,0,2.57,US,1668918472
162,paramonga,-10.6667,-77.8333,17.81,86,73,2.58,PE,1668918472
163,victoria,22.2855,114.1577,27.44,73,84,4.47,HK,1668918399
164,vaini,-21.2,-175.2,27.09,78,75,2.57,TO,1668918473
165,hami,42.8,93.45,5.4,34,2,5.5,CN,1668918473
166,lamar,33.6668,-95.5836,1.79,60,0,1.54,US,1668918474
167,cururupu,-1.8283,-44.8683,23.59,87,98,1.02,BR,1668918474
168,georgetown,5.4112,100.3354,29.03,77,20,2.57,MY,1668918475
169,tupiza,-21.45,-65.7167,14.66,63,29,1.69,BO,1668918475
170,buckeye,33.3703,-112.5838,15.83,24,40,4.12,US,1668918476
171,yumen,40.2833,97.2,5.75,20,100,9.28,CN,1668918476
172,katsuura,35.1333,140.3,15.79,71,100,7.58,JP,1668918477
173,turkistan,43.0,68.0,8.09,85,80,3.47,KZ,1668918477
174,luwuk,-0.9516,122.7875,29.8,71,100,0.68,ID,1668918478
175,hashtrud,37.4779,47.0508,3.61,72,0,0.58,IR,1668918478
176,paita,-5.0892,-81.1144,17.92,83,3,3.81,PE,1668918479
177,seoul,37.5683,126.9778,18.75,42,0,2.06,KR,1668918303
178,port hardy,50.6996,-127.4199,1.1,93,75,1.03,CA,1668918479
179,tilichiki,60.4667,166.1,-19.77,95,13,3.57,RU,1668918480
180,funtua,11.5233,7.3081,17.97,29,100,3.76,NG,1668918480
181,norman wells,65.282,-126.8329,-3.98,93,75,4.12,CA,1668918280
182,berlevag,70.8578,29.0864,0.82,80,100,5.66,NO,1668918481
183,ayan,56.45,138.1667,-1.54,97,100,8.26,RU,1668918481
184,kolyshley,52.7005,44.5367,-0.07,97,100,3.15,RU,1668918482
185,hithadhoo,-0.6,73.0833,27.46,77,27,4.79,MV,1668918483
186,abu dhabi,24.4667,54.3667,27.88,68,20,4.12,AE,1668918306
187,songjianghe,42.1859,127.479,2.95,85,100,1.91,CN,1668918483
188,opuwo,-18.0607,13.84,22.17,37,72,0.63,NA,1668918484
189,bredasdorp,-34.5322,20.0403,12.58,82,61,1.64,ZA,1668918484
190,yershov,51.3513,48.2766,1.01,99,100,5.17,RU,1668918485
191,asau,46.4333,26.4,-0.49,99,100,1.35,RO,1668918486
192,rock sound,24.9,-76.2,26.71,74,99,6.26,BS,1668918486
193,santa maria,-29.6842,-53.8069,19.95,65,38,2.69,BR,1668918487
194,huarmey,-10.0681,-78.1522,18.14,85,91,2.61,PE,1668918488
195,ponta do sol,32.6667,-17.1,17.47,65,58,2.89,PT,1668918262
196,kaoma,-14.7833,24.8,17.13,47,58,2.33,ZM,1668918488
197,leshukonskoye,64.8989,45.7622,-3.82,95,100,3.59,RU,1668918489
198,iberia,29.9502,-91.7507,6.78,87,100,3.09,US,1668918489
199,iwanai,42.9744,140.5089,10.33,67,100,3.66,JP,1668918490
200,kindu,-2.95,25.95,18.87,98,85,0.29,CD,1668918458
201,beyla,8.6833,-8.6333,19.65,54,98,1.16,GN,1668918491
202,vardo,70.3705,31.1107,-0.01,86,75,4.12,NO,1668918276
203,itarema,-2.9248,-39.9167,25.41,82,50,5.47,BR,1668918492
204,husavik,66.0449,-17.3389,6.73,83,100,11.33,IS,1668918213
205,adrar,20.5022,-10.0711,17.59,50,0,4.15,MR,1668918492
206,saldanha,-33.0117,17.9442,14.39,82,5,4.78,ZA,1668918493
207,namatanai,-3.6667,152.4333,28.95,65,77,4.59,PG,1668918351
208,okhotsk,59.3833,143.3,-12.21,69,100,2.14,RU,1668918494
209,chillicothe,39.3331,-82.9824,-2.4,56,75,4.63,US,1668918199
210,barrow,71.2906,-156.7887,-6.99,86,40,7.72,US,1668918494
211,zvishavane,-20.3267,30.0665,23.7,31,4,1.21,ZW,1668918495
212,saint-joseph,-21.3667,55.6167,25.21,68,15,0.39,RE,1668918496
213,chuy,-33.6971,-53.4616,19.04,84,85,6.04,UY,1668918496
214,dunedin,-45.8742,170.5036,16.0,87,81,0.89,NZ,1668918381
215,bethel,41.3712,-73.414,-1.83,68,0,0.0,US,1668918497
216,kralendijk,12.15,-68.2667,26.99,83,75,6.17,BQ,1668918498
217,bathsheba,13.2167,-59.5167,27.34,78,40,8.23,BB,1668918249
218,ambilobe,-13.2,49.05,25.11,66,45,2.37,MG,1668918498
219,ballina,-28.8667,153.5667,34.45,49,94,4.81,AU,1668918499
220,caselle torinese,45.1778,7.6426,4.05,74,0,2.57,IT,1668918499
221,te anau,-45.4167,167.7167,17.51,83,54,1.57,NZ,1668918351
222,sale,34.0389,-6.8166,12.55,94,75,2.06,MA,1668918500
223,eureka,40.8021,-124.1637,6.43,93,100,0.45,US,1668918346
224,pagudpud,18.5616,120.7868,30.3,66,66,6.33,PH,1668918501
225,the pas,53.8251,-101.2541,-8.99,92,0,1.54,CA,1668918501
226,anda,46.4,125.3167,-0.34,25,0,8.06,CN,1668918502
227,alofi,-19.0595,-169.9187,26.94,74,0,2.57,NU,1668918502
228,siswa bazar,27.15,83.7667,21.38,53,1,1.74,IN,1668918503
229,ylivieska,64.0833,24.55,-4.82,97,49,1.75,FI,1668918503
230,richards bay,-28.783,32.0377,18.0,79,86,5.44,ZA,1668918504
231,iskateley,67.6803,53.1512,0.99,99,100,4.57,RU,1668918504
232,shimanovsk,52.0,127.7,-3.31,95,100,3.79,RU,1668918505
233,caravelas,-17.7125,-39.2481,21.31,94,100,0.96,BR,1668918424
234,pontes e lacerda,-15.2261,-59.3353,27.91,38,87,1.2,BR,1668918505
235,ulkan,57.243,107.3223,-15.73,85,38,1.16,RU,1668918506
236,berdigestyakh,62.0989,126.6992,-22.9,97,78,1.24,RU,1668918506
237,sungaipenuh,-2.0833,101.3833,25.47,57,77,2.77,ID,1668918507
238,kasungu,-13.0333,33.4833,21.89,62,57,1.3,MW,1668918507
239,turukhansk,65.8167,87.9833,-19.28,93,100,3.28,RU,1668918508
240,batemans bay,-35.7167,150.1833,21.72,30,0,6.36,AU,1668918508
241,codrington,-38.2667,141.9667,13.86,80,45,10.94,AU,1668918509
242,san julian,21.0167,-102.1667,14.54,67,100,1.71,MX,1668918509
243,placido de castro,-10.3353,-67.1856,24.34,84,48,1.18,BR,1668918510
244,atikokan,48.7555,-91.6216,-18.89,96,24,2.0,CA,1668918510
245,shimoda,34.6667,138.95,11.72,86,100,9.58,JP,1668918511
246,kidal,18.4411,1.4078,21.68,16,100,4.38,ML,1668918371
247,mapiripan,2.8892,-72.1256,22.99,95,98,1.87,CO,1668918511
248,kenitra,34.261,-6.5802,12.42,66,81,2.34,MA,1668918512
249,talnakh,69.4865,88.3972,-24.7,97,97,1.52,RU,1668918291
250,rundu,-17.9333,19.7667,22.73,46,70,1.14,NA,1668918513
251,puerto escondido,15.85,-97.0667,26.46,69,0,2.06,MX,1668918513
252,kavieng,-2.5744,150.7967,29.39,64,78,5.11,PG,1668918514
253,mitsamiouli,-11.3847,43.2844,28.16,57,20,2.57,KM,1668918514
254,narsaq,60.9167,-46.05,-4.88,74,100,2.24,GL,1668918282
255,nokaneng,-19.6667,22.2667,25.12,27,11,2.57,BW,1668918515
256,george town,5.4112,100.3354,29.03,77,20,2.57,MY,1668918258
257,colares,38.7992,-9.4469,14.46,94,35,4.47,PT,1668918516
258,kahului,20.8947,-156.47,25.58,75,20,7.2,US,1668918320
259,tuatapere,-46.1333,167.6833,16.7,73,46,3.32,NZ,1668918516
260,merauke,-8.4667,140.3333,30.26,70,100,2.87,ID,1668918517
261,prince rupert,54.3161,-130.3201,6.92,64,100,7.72,CA,1668918310
262,mattru,7.6244,-11.8332,22.91,89,97,0.33,SL,1668918517
263,venado,22.9333,-101.0833,14.04,90,57,3.72,MX,1668918518
264,pocone,-16.2567,-56.6228,24.31,52,0,2.09,BR,1668918518
265,muzhi,65.3667,64.6667,-23.03,91,90,1.77,RU,1668918519
266,los llanos de aridane,28.6585,-17.9182,16.74,78,75,6.69,ES,1668918519
267,teahupoo,-17.8333,-149.2667,21.98,83,100,6.61,PF,1668918520
268,bonthe,7.5264,-12.505,26.02,73,100,1.5,SL,1668918520
269,luziania,-16.2525,-47.9503,19.43,85,42,1.88,BR,1668918521
270,chotepe,15.4167,-87.9833,23.95,88,40,1.03,HN,1668918521
271,guerrero negro,27.9769,-114.0611,16.35,63,0,1.79,MX,1668918522
272,kitui,-1.367,38.0106,17.91,90,100,0.93,KE,1668918522
273,aracuai,-16.8497,-42.0703,20.27,87,100,1.41,BR,1668918523
274,columbus,39.9612,-82.9988,-4.51,64,40,11.32,US,1668917731
275,katobu,-4.9408,122.5276,29.52,68,86,2.74,ID,1668918524
276,kambia,9.1167,-12.9167,21.19,80,55,0.24,SL,1668918524
277,sfantu gheorghe,45.8667,25.7833,4.81,92,100,2.41,RO,1668918525
278,olyka,50.7186,25.8125,-2.69,90,100,3.43,UA,1668918525
279,icara,-28.7133,-49.3,16.96,86,0,3.33,BR,1668918526
280,kimbe,-5.5502,150.1429,29.31,73,47,2.39,PG,1668918526
281,tripoli,32.8752,13.1875,19.6,38,97,8.31,LY,1668918527
282,acapulco,16.8634,-99.8901,26.9,83,0,2.06,MX,1668918527
283,emerald,-23.5333,148.1667,35.75,39,68,5.79,AU,1668918528
284,bubaque,11.2833,-15.8333,27.77,47,94,6.03,GW,1668918528
285,atasu,48.6814,71.6433,-5.25,93,87,1.6,KZ,1668918529
286,pangnirtung,66.1451,-65.7125,-19.77,86,54,2.33,CA,1668918529
287,singaraja,-8.112,115.0882,29.14,72,92,1.59,ID,1668918530
288,chicama,-7.8447,-79.1469,16.3,85,23,1.32,PE,1668918530
289,shingu,33.7333,135.9833,16.06,95,100,10.18,JP,1668918298
290,carmen,18.6333,-91.8333,25.52,83,70,5.43,MX,1668918482
291,souillac,-20.5167,57.5167,23.21,78,75,1.54,MU,1668918531
292,jiazi,22.8779,116.067,25.48,69,80,5.44,CN,1668918532
293,leningradskiy,69.3833,178.4167,-26.79,98,89,2.51,RU,1668918532
294,chongwe,-15.3292,28.682,20.81,51,13,0.5,ZM,1668918533
295,salalah,17.0151,54.0924,25.05,47,0,1.03,OM,1668918533
296,quatre cocos,-20.2078,57.7625,25.61,65,17,2.6,MU,1668918534
297,chichimila,20.6167,-88.2167,21.68,98,31,0.98,MX,1668918534
298,cabedelo,-6.9811,-34.8339,25.37,78,100,4.43,BR,1668918535
299,selikhino,50.3672,137.4996,0.51,97,100,4.26,RU,1668918535
300,oranjestad,12.524,-70.027,27.73,82,100,0.89,AW,1668918536
301,ardakan,32.31,54.0175,13.67,47,24,3.05,IR,1668918536
302,vila velha,-20.3297,-40.2925,22.19,78,75,2.24,BR,1668918206
303,skjervoy,70.0311,20.9714,-3.0,42,0,2.67,NO,1668918537
304,cockburn town,21.4612,-71.1419,27.57,70,28,9.15,TC,1668918537
305,pacifica,37.6138,-122.4869,12.0,52,0,5.14,US,1668918244
306,mahebourg,-20.4081,57.7,23.16,78,75,1.54,MU,1668918538
307,chifeng,42.2683,118.9636,2.36,35,100,1.82,CN,1668918538
308,alta floresta,-9.8756,-56.0861,21.37,98,52,1.06,BR,1668918539
309,mlonggo,-6.5333,110.7,29.55,71,100,4.75,ID,1668918539
310,rawson,-43.3002,-65.1023,15.16,38,0,4.12,AR,1668918540
311,san patricio,28.017,-97.5169,6.55,86,100,6.37,US,1668918540
312,baishishan,43.5833,127.5667,2.16,58,93,3.89,CN,1668918541
313,keti bandar,24.1447,67.4497,26.52,62,0,2.79,PK,1668918541
314,bandarbeyla,9.4942,50.8122,26.48,72,87,8.64,SO,1668918542
315,bajos de haina,18.4154,-70.0332,24.61,100,57,4.26,DO,1668918542
316,vila franca do campo,37.7167,-25.4333,17.89,86,99,4.33,PT,1668918543
317,cap malheureux,-19.9842,57.6142,25.82,61,0,3.13,MU,1668918544
318,am timan,11.0297,20.2827,21.42,32,53,2.55,TD,1668918544
319,broken hill,-31.95,141.4333,21.57,25,5,9.25,AU,1668918545
320,harper,4.375,-7.7169,22.29,82,36,0.25,LR,1668918545
321,gizo,-8.103,156.8419,29.99,68,28,5.14,SB,1668918546
322,atherton,53.5237,-2.4935,6.55,95,100,4.81,GB,1668918546
323,cherskiy,68.75,161.3,-23.19,97,100,5.78,RU,1668918547
324,mashhad,36.297,59.6062,8.08,76,0,2.06,IR,1668918547
325,kristiansund,63.1115,7.732,2.36,48,0,1.54,NO,1668918548
326,valley city,46.9233,-98.0032,-7.71,86,100,5.14,US,1668918548
327,kabinda,-6.1333,24.4833,18.51,95,98,0.28,CD,1668918549
328,kaeo,-35.1,173.7833,20.18,87,93,6.37,NZ,1668918549
329,margate,51.3813,1.3862,5.88,94,100,0.45,GB,1668918550
330,omboue,-1.5746,9.2618,23.61,94,100,3.44,GA,1668918550
331,fortuna,40.5982,-124.1573,5.77,96,0,2.57,US,1668918551
332,shestakovo,56.4915,103.96,-11.79,76,23,1.65,RU,1668918551
333,dong hoi,17.4833,106.6,26.6,78,95,3.13,VN,1668918273
334,hun,29.1268,15.9477,19.11,17,98,3.74,LY,1668918552
335,abdanan,32.9926,47.4198,11.93,48,3,3.16,IR,1668918552
336,port hedland,-20.3167,118.5667,27.44,32,100,8.55,AU,1668918553
337,broome,42.2506,-75.833,-2.02,62,100,3.6,US,1668918553
338,provideniya,64.3833,-173.3,-2.95,83,99,3.24,RU,1668918554
339,havoysund,70.9963,24.6622,1.13,65,0,1.73,NO,1668918287
340,kieta,-6.2167,155.6333,29.58,62,46,1.98,PG,1668918555
341,poya,-21.35,165.15,26.07,69,66,3.52,NC,1668918555
342,tamale,9.4008,-0.8393,24.3,35,18,1.4,GH,1668918556
343,panalingaan,8.7842,117.4231,29.36,70,100,0.82,PH,1668918556
344,nhulunbuy,-12.2333,136.7667,34.34,43,92,4.12,AU,1668918557
345,jhabua,22.7667,74.6,22.35,33,0,3.57,IN,1668918389
346,maine-soroa,13.2114,12.0241,20.01,21,22,4.16,NE,1668918558
347,iracoubo,5.4802,-53.2011,26.2,77,10,5.07,GF,1668918558
348,fairbanks,64.8378,-147.7164,-14.92,88,0,1.54,US,1668918559
349,kurumkan,54.3,110.3,-15.37,74,14,0.88,RU,1668918559
350,gavle,60.6745,17.1417,0.52,97,100,0.89,SE,1668918560
351,lazi,48.0667,24.2333,3.11,94,100,1.62,UA,1668918560
352,padang,-0.9492,100.3543,29.03,70,100,2.08,ID,1668918561
353,praia,14.9215,-23.5087,24.3,73,75,7.72,CV,1668918561
354,victor harbor,-35.5667,138.6167,17.22,68,18,0.45,AU,1668918562
355,maria chiquita,9.4431,-79.7558,24.87,88,87,1.71,PA,1668918562
356,juegang,32.3174,121.1855,21.66,80,92,5.35,CN,1668918563
357,exeter,50.7236,-3.5275,8.48,95,73,0.45,GB,1668918015
358,havelock,34.8791,-76.9013,11.29,70,0,4.12,US,1668918563
359,zabid,14.1951,43.3152,24.82,72,69,1.01,YE,1668918564
360,mombetsu,44.3525,143.3525,10.01,57,75,1.54,JP,1668918564
361,chara,56.9064,118.2631,-15.67,82,100,0.56,RU,1668918565
362,ugoofaaru,5.6667,73.0,27.02,74,95,4.28,MV,1668918566
363,tual,-5.6667,132.75,26.66,79,100,6.6,ID,1668918566
364,marabba,12.35,32.1833,21.97,19,8,4.57,SD,1668918567
365,awjilah,29.1081,21.2869,16.66,26,84,5.07,LY,1668918567
366,esmeraldas,-19.7625,-44.3139,18.48,88,98,1.98,BR,1668918568
367,aripuana,-9.1667,-60.6333,21.94,90,34,0.86,BR,1668918568
